path	tier	bucket	status	owner_tool	summary
notes/CONVENTIONS.md	doctrine	process	live		Lifecycle policy for notes/: types, lifecycle, mechanical retire rule, MERGE eligibility, freshness.
notes/README.md	doctrine	process	live	tools/notes_index.py	Generated router: buckets and a one-line summary per notes/ file, doctrine marked apart from evidence.
notes/actor-core-provenance.md	evidence	provenance	live		fBase_c/ActorBase/ActorDerived/Actor ROM code ranges and ctor evidence moved out of the headers.
notes/actor-leaf-provenance.md	evidence	provenance	live		Field-name evidence for dActor_c leaf classes (excl. Player/Bowser/dBgActor_c), byte-neutral.
notes/actor-naming.md	evidence	naming	live		How to derive real actor names from the ROM's ACTOR_SPAWN_TABLE and DynamicAllocationDecomp's ActorList.h.
notes/actor-profile-pilot.md	evidence	provenance	live		Pilot: SpawnInfo is one instance of a broader process-profile system; 14 actor + 6 scene profiles sampled.
notes/actor-vtables.md	evidence	naming	live		Actor/ActorDerived/ActorBase/Player vtable slot-by-slot map recovered whole from the ROM.
notes/agent-cpp-class-migration.md	evidence	process	superseded		Older parallel-agent C++ migration guide; superseded by the 5-role pipeline in notes/agents/**.
notes/agent-partitioned-tu-workflow.md	evidence	tu-promotion	live		Operational companion to the TU-reconstruction plan; how tools/tubuild.py drives the partitioned workflow.
notes/agents/LAUNCH.md	doctrine	process	live		Copy-paste launch prompts that bootstrap a fresh Claude Code/Codex instance into the class pipeline.
notes/agents/PIPELINE.md	doctrine	process	live		The 5-stage class pipeline (scout/writer/builder/integrator/reviewer) and its claim protocol.
notes/agents/roles/builder.md	doctrine	process	live		Builder role: required gate order and proof steps to verify a class reconstruction before opening a PR.
notes/agents/roles/humanizer.md	doctrine	process	live		Humanizer role: checklist for whether reconstructed C++ reads like plausible 2004 EAD source.
notes/agents/roles/integrator.md	doctrine	process	live		Integrator role: compose several proven class promotions onto one branch for a single validator run.
notes/agents/roles/reviewer.md	doctrine	process	live		Reviewer role: independent re-verification checklist before merging a class-promotion PR.
notes/agents/roles/scout.md	doctrine	process	live		Scout role: which ROM facts to establish and write to class-facts/<Class>.json before writing starts.
notes/agents/roles/writer.md	doctrine	process	live		Writer role: gather a class's scattered shard files into one real C++ TU; states the D0/D1/D2 order rule.
notes/archive/ARCHIVE_LOG.md	archive	process	live		Ledger of every note ever retired or archived: path, date, one-line reason, last commit sha.
notes/archive/crack-loop-runbook.md	archive	matching	historical		Coddog fan-out matching-loop command sequence (prep/fan-out/verify); un-archived once, tooling still live.
notes/archive/func_02059d8c-asm-origin.md	archive	matching	historical		Why func_02059d8c's 3-instruction busy-wait has no pure-C preimage; recommends ASM-PRIMITIVE reclass.
notes/archive/func_ov079_02124008-floor.md	archive	matching	historical		Near-miss floor analysis for func_ov079_02124008 (div=1 materialization), banked in nearmiss/db.jsonl.
notes/archive/n64-decomp-cross-reference.md	archive	matching	live		N64 SM64 decomp cross-reference (naming oracle, physics/architecture comparison); still takes rename-cascade commits despite living under archive/.
notes/archive/plan-gen-header.md	archive	cpp-conversion	historical		v2 plan for tools/gen_header.py's struct-layout header generator; scope vs. declaration headers.
notes/archive/plan-scalar-markers.md	archive	cpp-conversion	historical		Status of retyping scalar-sized u8 marker fields; 71 mechanical cases done per gen_header.py --report.
notes/archive/pret-idioms.md	archive	matching	historical		mwccarm idioms mined from pret's Pokemon Platinum/Diamond; superseded by notes/matching-style.md.
notes/arm9-endgame.md	evidence	matching	live		Routing map for arm9's last ~20 unmatched functions (the large-residue tail); re-measured 2026-08-02.
notes/arm9-msl-walls.md	evidence	matching	live		Why __pformatter/float2hex stay asm: built by a compiler family 1.2 can't reproduce; accepted by design.
notes/ask-the-compiler.md	evidence	matching	live		Worked example: using mwccarm's stack-slot debug dump to match the ROM's largest unmatched function.
notes/asm-policy.md	doctrine	matching	live		Rule for when an asm{} block still counts as "decompiled" vs. hiding an un-recovered function.
notes/assets.md	evidence	build	live		How to extract/catalog NitroFS assets (models, textures, sound) locally with unpack.py/rombuild.py.
notes/bgobject-provenance.md	evidence	provenance	live		Per-class field-name evidence for dBgActor_c-derived interactive objects (StarSwitch, etc.), byte-neutral.
notes/butterfly-tornado-provenance.md	evidence	provenance	live		Field-name provenance for Butterfly/Tornado/StarMarker/ToxBox, from tools/gen_header.py offsets.
notes/codegen-rules.md	doctrine	matching	live		Condensed load-bearing rulebook: mwccarm-codegen.md's curated `## 1`-`## 6d` + `## 6az` sections, meant to be loaded whole.
notes/collision-query-classes.md	evidence	provenance	superseded		RaycastLine/RaycastGround/SphereClsn gazetteer; several conclusions wrong — read collision-system.md first.
