id	question	answer_file	answer_regex	tier	notes
Q1	Which compiler build do we match, and how do I get it?	notes/setup-mwccarm.md	(?=.*2004/b56)(?=.*recover_cw2004\.py)	setup	Anchor verified as given. Pin is 2004/b56; recovery script is tools/recover_cw2004.py (section 1).
Q2	My logic is right but registers are wrong -- what are the real levers vs. known floors?	notes/codegen-rules.md	(?=.*register-allocation wall)(?=.*access EXPRESSION changes the allocation)	codegen	Retargeted 2026-09-06: this rule now lives in the condensed doctrine file notes/codegen-rules.md ("## 2. The register-allocation wall"), not the 317KB log; mwccarm-codegen.md keeps the byte-identical original at the same section number for the fuller derivation.
Q3	Why does a Fix12 by-value parameter break the match?	notes/codegen-rules.md	(?=.*Fix12 wall)(?=.*ShadowModel::InitModel)	codegen	Retargeted 2026-09-06: condensed into notes/codegen-rules.md's "## 6az" section (the single most-cited passage in notes/, ~170 citers); mwccarm-codegen.md's own `## 6az` (line 50) is unchanged and still the fuller derivation.
Q4	What must a TU-promotion PR show before review?	notes/tu-promotion-conventions.md	(?=.*A coined mangled name must not assert)(?=.*exactly once, in the TU source, at namespace scope)(?=.*Delete your own stale)(?=.*provenance comments the promotion just invalidated)(?=.*Ledger-touching PRs land one at a time)(?=.*Mark every hand-written member)	process	Anchor verified. Regex requires all 6 numbered convention headers (S1-S6) to still be present -- a consolidation that drops any one requirement fails this gate.
Q5	Which functions shared class X's original translation unit?	notes/tu-boundaries.md	(?=.*tools/tu_map\.py)(?=.*interleaved in source order)	structure	Anchor verified (plus build/tu_map.json, which is generated data, not prose -- not separately gated). Regex targets the load-bearing finding: mwcc interleaves co-resident classes' methods in source order, so naive class-name cuts undercount.
Q6	What D0/D1/D2 emission order do I get, inline vs out-of-line?	notes/agents/roles/writer.md	(?=.*inline in class)(?=.*D1 then D0, always)(?=.*out-of-line)(?=.*D2, D0, D1)	codegen	Anchor corrected: fact is at line 296, not line 297 as given (off-by-one, file is 44671 bytes / ~45KB as described). Confirms role-prompt-as-doctrine finding: this is the only place the closed D0/D1/D2 lever set is stated.
Q7	What does the PR validator actually check?	notes/pr-validation.md	(?=.*Module fidelity)(?=.*No WRONG or NO-REPRO)(?=.*Contributor lineage)	process	Anchor verified: the metric/meaning/gate table under "# Full PR validation", lines 1-16.
Q8	Why is a field named that, and how much do I trust it?	notes/symbol-name-provenance.md	(?=.*Tier D)(?=.*imported community reconstruction)(?=.*This is where the errors live)	provenance	Anchor verified: "## The tiers, with counts" (line 38) and Tier D subsection (line 81), which is explicitly the low-trust tier.
Q9	Can overlays A and B be resident at the same time?	notes/overlay-residency.md	(?=.*LoadOverlay)(?=.*never simultaneously resident)	architecture	Anchor verified: "## 1. The premise the whole thing rests on" (line 13) states the actual decision rule (E2); sections 8-9 hold current-state counts that are more volatile and not gated here.
Q10	What is the live C++/TU state and what is next?	notes/cpp-tu-current-state.md	(?=.*langmode_audit\.audit)(?=.*port_refcheck\.py)	status	Anchor verified: "## Which source answers which question" routing table (line 101), the generated authority page's own index of what to run for current counts.
